backend,model,mode,language,category,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Qwen/Qwen3.5-1.5B,constrained_mixed,stlc,stlc:logic_repetition,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,constrained_mixed,stlc,stlc:logic_substitution,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,constrained_mixed,stlc,stlc:logic_weakening,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,fun:boolean,2,0.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,180.5,7.22
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,fun:function,4,0.0,25.0,25.0,0.0,0.0,75.0,0.0,0.0,0.0,211.0,11.59
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,fun:function_application,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,192.5,10.0
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,fun:function_arithmetic,12,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172.42,26.71
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,fun:function_closure,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,336.0,20.8
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,fun:function_composition,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,242.0,15.65
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,fun:function_constant,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140.0,6.66
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,fun:function_float,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,202.25,14.55
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,fun:function_higher_order,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,312.0,61.77
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,imp:arithmetic,2,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,105.5,4.08
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,imp:assignment,3,0.0,0.0,0.0,0.0,0.0,33.33,66.67,0.0,0.0,118.67,4.52
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,imp:boolean,2,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,152.5,5.9
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,imp:branching,6,0.0,0.0,0.0,0.0,0.0,33.33,66.67,0.0,0.0,154.17,6.03
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,imp:loops,4,0.0,25.0,25.0,0.0,0.0,50.0,25.0,0.0,0.0,158.25,5.89
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,imp:mixed_control,2,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,233.0,9.85
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,imp:nested_branching,3,0.0,0.0,0.0,0.0,0.0,33.33,66.67,0.0,0.0,173.0,7.27
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,imp:sequence,3,0.0,0.0,0.0,0.0,0.0,66.67,33.33,0.0,0.0,178.67,7.04
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,imp:while_loop,3,0.0,33.33,33.33,0.0,0.0,0.0,66.67,0.0,0.0,124.0,4.69
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_application,2,0.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,146.5,6.81
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_argument_order,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,5.07
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_choice,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,146.5,5.31
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_composition,6,0.0,0.0,0.0,0.0,0.0,66.67,33.33,0.0,0.0,162.33,9.31
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_continuation,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,134.0,4.87
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_contraction,2,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,139.5,5.07
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_elimination,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141.0,5.11
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_eta,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139.0,5.03
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_function_result,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,128.0,4.61
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_higher_order,3,0.0,33.33,33.33,0.0,0.0,66.67,0.0,0.0,0.0,146.33,5.55
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_identity,2,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,4.64
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_modus_ponens,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173.5,7.22
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_pipeline,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142.0,5.16
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_projection,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,140.0,5.05
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_repetition,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172.0,6.55
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_substitution,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140.0,10.82
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,stlc:logic_weakening,3,0.0,66.67,66.67,0.0,0.0,33.33,0.0,0.0,0.0,136.67,4.92
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,fun:boolean,2,0.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,11.0,1.38
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,fun:function,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,92.25,9.47
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,fun:function_application,4,0.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,51.0,5.05
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,fun:function_arithmetic,12,0.0,8.33,8.33,0.0,0.0,83.33,8.33,0.0,0.0,100.5,19.12
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,fun:function_closure,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,123.0,20.79
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,fun:function_composition,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,209.0,279.83
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,fun:function_constant,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,97.0,9.63
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,fun:function_float,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,18.0,5.87
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,fun:function_higher_order,2,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,111.5,9.25
local,Qwen/Qwen3.5-4B,constrained_mixed,imp,imp:arithmetic,2,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.47
local,Qwen/Qwen3.5-4B,constrained_mixed,imp,imp:assignment,3,0.0,0.0,0.0,0.0,0.0,33.33,66.67,0.0,0.0,51.67,3.42
local,Qwen/Qwen3.5-4B,constrained_mixed,imp,imp:boolean,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,81.0,4.85
local,Qwen/Qwen3.5-4B,constrained_mixed,imp,imp:branching,6,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,56.17,4.15
local,Qwen/Qwen3.5-4B,constrained_mixed,imp,imp:loops,4,0.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,86.75,5.47
local,Qwen/Qwen3.5-4B,constrained_mixed,imp,imp:mixed_control,2,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,54.5,3.57
local,Qwen/Qwen3.5-4B,constrained_mixed,imp,imp:nested_branching,3,0.0,33.33,33.33,0.0,0.0,0.0,66.67,0.0,0.0,54.0,3.46
