backend,model,mode,language,category,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_contraction,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,0.84
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_identity,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,0.9
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_modus_ponens,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.86
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_projection,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,0.82
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_weakening,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.83
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:boolean,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,51.5,1.82
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:function,4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,124.0,4.14
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:function_application,4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,132.0,4.4
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:function_arithmetic,12,0.0,0.0,0.0,0.0,83.33,0.0,16.67,0.0,0.0,93.92,3.18
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:function_closure,2,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,208.0,6.85
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:function_composition,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,79.5,2.74
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:function_constant,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,37.0,1.36
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:function_float,4,0.0,0.0,0.0,0.0,75.0,0.0,25.0,0.0,0.0,109.25,3.67
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:function_higher_order,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,104.5,3.51
local,Qwen/Qwen3.5-0.8B,unconstrained,imp,imp:arithmetic,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,80.0,2.71
local,Qwen/Qwen3.5-0.8B,unconstrained,imp,imp:assignment,3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,65.67,2.26
local,Qwen/Qwen3.5-0.8B,unconstrained,imp,imp:boolean,2,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,60.5,2.1
local,Qwen/Qwen3.5-0.8B,unconstrained,imp,imp:branching,6,0.0,0.0,0.0,0.0,83.33,0.0,16.67,0.0,0.0,117.83,3.94
local,Qwen/Qwen3.5-0.8B,unconstrained,imp,imp:loops,4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,172.0,5.68
local,Qwen/Qwen3.5-0.8B,unconstrained,imp,imp:mixed_control,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,192.0,6.33
local,Qwen/Qwen3.5-0.8B,unconstrained,imp,imp:nested_branching,3,0.0,0.0,0.0,0.0,66.67,0.0,33.33,0.0,0.0,146.33,4.86
local,Qwen/Qwen3.5-0.8B,unconstrained,imp,imp:sequence,3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,84.0,2.85
local,Qwen/Qwen3.5-0.8B,unconstrained,imp,imp:while_loop,3,0.0,0.0,0.0,0.0,66.67,0.0,33.33,0.0,0.0,81.67,2.78
local,Qwen/Qwen3.5-0.8B,unconstrained,stlc,stlc:logic_application,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,116.0,3.88
